Logger initialized at 2025-04-14 16:40:46.285229
[2025-04-14 16:42:12] Episode 343: Total Reward = 0.30, Steps = 60
[2025-04-14 16:42:13] Episode 344: Total Reward = -1.65, Steps = 60
[2025-04-14 16:42:13] Episode 345: Total Reward = 5.90, Steps = 60
[2025-04-14 16:42:13] Episode 346: Total Reward = -5.25, Steps = 60
[2025-04-14 16:42:13] Episode 347: Total Reward = 3.80, Steps = 60
[2025-04-14 16:42:14] Episode 348: Total Reward = 2.00, Steps = 60
[2025-04-14 16:42:14] Episode 349: Total Reward = -0.15, Steps = 60
[2025-04-14 16:42:14] Episode 350: Total Reward = 3.10, Steps = 60
[2025-04-14 16:42:15] Episode 351: Total Reward = 4.80, Steps = 60
[2025-04-14 16:42:15] Episode 352: Total Reward = -0.75, Steps = 60
[2025-04-14 16:42:15] Episode 353: Total Reward = -2.50, Steps = 60
[2025-04-14 16:42:16] Episode 354: Total Reward = 0.85, Steps = 60
[2025-04-14 16:42:16] Episode 355: Total Reward = -0.80, Steps = 60
[2025-04-14 16:42:16] Episode 356: Total Reward = 1.90, Steps = 60
[2025-04-14 16:42:17] Episode 357: Total Reward = 5.55, Steps = 60
[2025-04-14 16:42:17] Episode 358: Total Reward = 2.80, Steps = 60
[2025-04-14 16:42:17] Episode 359: Total Reward = -1.70, Steps = 60
[2025-04-14 16:42:18] Episode 360: Total Reward = 4.60, Steps = 60
[2025-04-14 16:42:18] Episode 361: Total Reward = -4.80, Steps = 60
[2025-04-14 16:42:18] Episode 362: Total Reward = -0.10, Steps = 60
[2025-04-14 16:42:19] Episode 363: Total Reward = 3.90, Steps = 60
[2025-04-14 16:42:19] Episode 364: Total Reward = -1.55, Steps = 60
